EAN,Item Description,Hypercity
8906008453201,VLCC Anti Tan Skin Lightening Face Wash-50gm,100327318
8907122008384,Fair+Glow Sun Screen Lotion SPF20 50 ml,
8907122008377,Fair+Glow Sun Screen Lotion SPF20 100 ml,100024755
8907122008407,Matte Look SPF 30 Sun Screen Gel CrÃ¨me (Tinted) 100 gm,100024756
8907122008414,Matte Look SPF 30 Sun Screen Gel CrÃ¨me (Tinted) 50 gm,100414847
8907122008421,Matte Look SPF 30 Sun Screen Gel CrÃ¨me (Tinted) 15 gm,
8907122008483,Radiance Pro SPF 30 Sun Screen Gel 100 gm,
8907122008490,Radiance Pro SPF 30 Sun Screen Gel 50 gm,
8907122008513,3D Youth Boost SPF40 Sunscreen Gel CrÃ¨me 100 gm,100024805
8907122008520,3D Youth Boost SPF40 Sunscreen Gel CrÃ¨me 50 gm,
8907122008537,De Tan SPF 50 Sunscreen Gel CrÃ¨me 100 gm,100414849
8907122008544,Water Resistant SPF60 Sunscreen Gel CrÃ¨me 100gm,100527028
8907122000494,VLCC Maximum Sunblock Lotion SPF 70 60G,100699377
8906008459210,VLCC Clear Tan Fruits Face Pack- 100gm,100312896
8907122002672,Antitan Body Lotion SPF 25 150ml B1G1,101343281
8906008450774,VLCC Sandal Cleansing Milk 100ml,100024758
8906008450804,VLCC Wild Turmeric Face Wash-80ml,100024781
8906008450743,VLCC Honey Moisturiser 100 ml+ offer,100312897
8906008450750,VLCC Melia Face Wash 80ml,100024780
8906008450729,VLCC LAVANG MOISTURISER - 100 ML,100024752
8906008450798,VLCC Punernave Astringent-100ml ,100024778
8906008452846,VLCC Almond Under Eye Cream 15Gm,100198773
8906008450811,VLCC Pista Massage Cream 50Gm,100024763
8907122002276,VL LIQUORICE COLD CREAM 50Gm,101233830
8906008453041,VLCC Rose Face Scrub 80gm ,100312912
8906008451214,VLCC Indian Berberry -80gm,100024772
8906008450781,VLCC Rose Water Toner 100ml,100198785
8906008458787,VLCC Coco Butter Body Lotion â 200ml Â  Â  Â  Â  Â  ,100468816
8906008458817,VLCC Almond Body Lotion â 350ml B1G1,101233829
8906008450934,VLCC Mud Face Pack-70gm,100024705
8907122003112,VLCC Papaya & Apricot Scrub-80gm,100755403
8907122003099,VLCC Walnut Face Scrub-80gm,100755402
8907122000081,VLCC Anti Aging Day CreamSPF 25 -50 gm,100755399
8907122000098,VLCC Anti Aging Night Cream- 50 gm,100024735
8907122000067,VLCC Anti Aging Face Wash 100 ml,100024782
8907122000104,VLCC Anti Aging Vitalift serum- 40 ml,100755400
8906008450897,VLCC Snighda Skin Whitening Day Cream Spf25 50gm,100024774
8907122003105,VLCC Snighda Skin Whitening Face Wash 100ml,100755392
8907122003365,VLCC Snighda Skin Whitening Night Cream 50Gm,100755393
8907122003372,VLCC Snighda Skin Whitening Serum 40ml,100755394
8906008458022,VLCC Gold Facial Kit-Single,100393461
8906008458015,VLCC Pearl Fairness Facial Kit-Single 90G,100393462
8906008458589,VLCC PARTY GLOW FACIAL KIT 90G,100707729
8906008458374,VLCC ANTI TAN SINGLE FACIAL KIT,100414852
8906008458466,VLCC Fruit Facial Kit-Single 100G,100707735
8906008458039,VLCC Diamond Facial Kit-Single,100393463
8906008459715,VLCC Silver Facial Kit ,
8906008452907,VLCC Fruit Kit,100312913
8906008452785,VLCC Insta Glow Facial Kit ,100312899
8906008452761,VLCC Detan Facial Kit,100312895
8906008452822,VLCC Skin Tightning Facial Kit ,100198787
8906008455069,VLCC Pedi Glow Foot Care Kit,100198781
8907122002191,VLCC pedicure & Manicure kit,100198782
8907122005659,Papaya Fruit Facial Kit 5 Session,101775047
8907122005666,Party Glow Facial Kit 5 Session,100312899
8907122005642,Anti Tan Facial Kit 5 Session,101775048
8906008458350,VLCC Gold Facial Kit-6,100961689
8907122006144,Total Nourishment Fruit Cream,
8907122006632,Insta Fair & Glow Cold Cream,
8907122002993,VLCC Skin Glow Mini Facial kit,
8907122002986,VLCC Skin Whitening Mini Facial Kit ,
8907122006373,VLCC Neem FACE WASH Sachet (Pack of 24@ Rs.5 per sachet) ,
8906008453058,VLCC Diamond Kit,100961688
8906008454246,VLCC Pearl Facial Kit,100198780
8907122001835,VLCC Daily protect Lip balm Strawberry 4.5GM,100707725
8907122004065,VLCC Rose Lip Balm 4.5 gm,101268498
8907122004072,VLCC Peach Lip Balm 4.5 gm,101268499
8907122001842,VLCC Daily protect Lip balm Cherry 4.5GM,100469053
8906008460438,VLCC Alpine Mint & Tea Tree Gentle Refreshing Face Wash-175ml,100618886
8906008460469,VLCC Mandarin & Tomato  Natural Fairness Face Wash-175ml,100618889
8906008459579,VLCC Hair Fall Repair Oil 100ML,100198776
8906008459517,VLCC Protein Conditioning Shampoo-350ml,100327321
8906008459487,VLCC Hair Fall Repair Shampoo-350ml,100312908
8906008459456,VLCC Dandruff Control Shampoo-350ml,100312905
8906008459562,VLCC Hair Strengthening Oil 100ml,100312894
8906008460476,VLCC Henna 2*100gm,100024785
8906008451665,VLCC Henna 100gm,
8906008451009,VLCC KAJAL 2.5GR ,100198779
8906008458428,VLCC Herbal Bleach Retail 27 gm,100707732
8906008456554,VLCC Gold Bleach Retail 30G,100707734
8906008453331,VLCC Insta Glow Bleach -21 gm,100388170
8907122001439,VLCC Diamond Bleach 30gm,100755390
8907122000050,VLCC Insta Glow Gold Bleach - 60 gm,101209111
8907122000043,VLCC Insta Glow Herbal Bleach - 54 gm,101209110
8907122000029,VLCC Insta Glow Qxygen Bleach - 51.4 gm,101209112
8907122000036,VLCC Insta Glow Diamond Bleach - 60 gm,101209109
8907122002641,Neem Facewash 150ml ,101282773
8907122002658,Mulberry & Rose Facewash 150ml ,101343280
8907122002665,Turmeric & Berberris Facewash 150ml ,101282774
8907122000180,VLCC Enchanting Kajal,101384459
8907122003761,VLCC Tulsi Face Wash,101495572
8907122000128,VLCC De-pigmentation Day Cream 50gm,100755396
8907122000135,VLCC De-pigmentation Night Cream 50gm,100755397
8907122000111,VLCC De-pigmentation Face Mask 80 gm,100755395
8907122000142,VLCC De - pigmentation Serum 40ML,100755398
8906008458572,Shape Up Slimming Oil100 ml,100024711
8907122001798,Shape Up Slimming Oil200 ml,100024801
8906008451863,Shape Up Waist & Tummy Trim Gel200 gm,100198788
8906008453393,Shape Up Waist & Tummy Trim Gel100 gm,100388185
8907122005444,Shape UP B line Cream 100ml,
8907122002931,Shape Up Anti-Cellulite Oil100 ml,101268496
8907122002948,Shape Up Anti-Cellulite Gel100 gm,101268497
8907122003693,Shape Up 10Â inÂ 1Â Oil60 ml,
8907122003686,Shape Up 10Â inÂ 1Â Oil100 ml,
8906008458794,VLCC Coco Butter Body Lotion â 350ml,
8906008458848,VLCC Aloe Vera Body Lotion â 350ml,100468832
8906008458831,VLCC Mulberry Body Lotion â 350ml,
8907122006076,Skin Brightening Haldi & Chandan Face wash,101775042
8907122006113,Natural Fairness Double Action Chandan & Kesar,101775043
8907122006052,Deep Pore Cleansing & Brightening Haldi & Tulsi FACEWASH,101775044
8907122006090,Skin Purifying Double Power Double Neem FACEWASH,101775045
8907122006137,VLCC Platinum Facial Kit 60gm,101775046
8907122006557,Deep Pore Cleansing & Brightening Haldi & Tulsi Facial Kit ,101775049
8907122006564,Skin Purifying Double Power Double Neem Facial Kit,101775050
8907122006571,Skin Brightening Haldi & Chandan Facial Kit ,101775051
8907122006588,Natural Fairness Chandan & Kesar Facial Kit,101775052
8907122008049,VLCC Ayurveda Dandruff Control Shampoo,
8907122008063,VLCC Ayurveda Anti Hair Fall Shampoo,
8907122008100,VLCC Ayurveda Intense Nourishing Shampoo,
8907122008087,VLCC Ayurveda Smooth and Shine Shampoo,
8907122008124,VLCC Ayurveda Kesh Ayur Shakti Hair Oil,
8907122007547,VLCC AyushMEN Face Wash 50gm,
8907122007554,VLCC AyushMEN Face Wash 100gm,
8907122007561,VLCC AyushMEN Scrub 50gm,
8907122007578,VLCC AyushMEN Moisturiser 50gm,
8907122007585,VLCC AyushMEN Moisturiser 100gm,
8907122007592,VLCC AyushMEN Shaving Gel 50gm,
8907122007608,VLCC AyushMEN Shaving Cream 70gm,
8907122007615,VLCC AyushMEN Shaving Cream 125gm,
8907122008308,VLCC Ayurveda Spotless Clear Active D Pigmentation Cream,
8907122008438,VLCC Ayurveda Multani Mitti Face Pack,
8907122008292,VLCC Ayurveda Youth Miracle Anti Ageing Cream,
8907122008445,VLCC Ayurveda White & Bright Glow Gel Cream,
8907122010196,DeTan + WhiteGlo Moisturising Body Lotion SPF 30 PA+++ 350ml,
8907122006670,Ayurveda Baby Cream,
8907122009206,Ayurveda Baby Cream,
8907122009220,Ayurveda Baby Massage Oil,
8907122006687,Ayurveda Baby Lotion,
8907122009213,Ayurveda Baby Lotion,
8907122006663,Baby Diaper Cream,
8907122009190,Baby Diaper Cream,
8907122006694,Baby Head to Toe Wash,
8907122009022,VLCC Pocket Parfum - Naturel Lime - Unisex,
8907122009039,VLCC Pocket Parfum - Herbal Forest - Woman,
8907122009046,VLCC Pocket Parfum - Floral Garden - Woman,
8907122009053,VLCC Pocket Parfum - Woody Forest - Man,
8907122009060,VLCC Pocket Parfum - Musky Naturel - Man,
8907122009435,VLCC Pocket ParfumâJAR (bulk pack),
8906008459470,VLCC Hair Fall Repair Shampoo-200ml,100312907
8906008459449,VLCC Dandruff Control Shampoo-200ml,100312904
8907122002603,Daily Protect Sun Screen Cream SPF25 100ml,101343284
8906008460957,Slimmers Green Tea with Herbs - ANTIOXIDANT10 packs,101225272
8906008460964,Slimmers Herbal Infusion with Green Tea - SLIMMING10 packs,101225274
8906008460971,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF10 packs,101225273
8907122003952,Slimmer's Herbal Inf. with Green Tea (Digestive) 10's,
8907122001972,Slimmers Green Tea with Herbs - ANTIOXIDANT25 packs,101225275
8907122001958,Slimmers Herbal Infusion with Green Tea - SLIMMING25 packs,101225277
8907122001965,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF25 packs,101225276
8907122003969,Slimmer's Herbal Inf. with Green Tea (Digestive) 25's,
8906008451719,Slimmers Honey Dietary Supplement225 gm,100393464
8907122004775,Slimmers Honey Dietary Supplement400 gm,
8907122000982,Slimmers Stevia Herbal Sweetener60 no,101225281
8907122001873,VLCC Daily protect Lip balm Orange 4Gm,100707723
8907122005246,VLCC Enchanting Eyes Kohl Blue.3gm,101413757
8907122005253,VLCC Enchanting Eyes Kohl Green.3gm,101413756
8907122002153,Shape Up Shaping Kit1 Kit,
8907122002771,Shape Up Anti Stretch Mark Cream100 gm,100315784
8907122002788,Shape Up Anti Stretch Mark Cream200 gm,
8906008453133,Shape Up Chin & Neck Firming Cream100 gm,
8906008453096,Shape Up HTA Shaping Gel100 gm,
8907122003945,Slimmers Green Tea with Herbs - ANTIOXIDANT50 packs,101225278
8907122003921,Slimmers Herbal Infusion with Green Tea - SLIMMING50 packs,101225279
8907122003938,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF50 packs,101225280
8907122004812,Slimmers Green Tea with Herbs - ANTIOXIDANT with Stevia50 packs,
8907122004799,Slimmers Herbal Infusion with Green Tea - SLIMMING with Stevia50 packs,
8907122004805,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF with Stevia50 packs,
8907122004782,Slimmers Honey Dietary Supplement125 gm,
8907122002375,YaP Instant Muscle Relaxing & Refreshing Oil100 ml,
8907122002368,YaP Instant Muscle Relaxing & Refreshing Gel150 gm,
8907122002382,YaP Instant Muscle Relaxing & Refreshing Spray100 ml,
8907122003600,YaP Organics - Combi Pack30gm + 30ml,
8907122001149,Gasflush20 Capsules,
8907122001132,Gasflush60 Capsules,
8907122004577,Slimmers Multi Green Muesli Crunchy Nut + Free 25%250 gm,
8907122004362,Slimmers Multi Green Muesli Fruit & Fibre + Free 25%250 gm,
8907122005284,Slimmers Multi Green Muesli Crunchy Nut + Free Honey 125 gm500 gm,
8907122005277,Slimmers Multi Green Muesli Fruit & Fibre + 25% + Free Honey 125 gm500 gm,
8906008453935,Slimmers Isabgol LEMON Flavoured100 gm,100388176
8906008453942,Slimmers Isabgol PINEAPPLE Flavoured100 gm,100388173
8907122001996,Slimmers Roasted Mix SPROUTED125 gm,
8907122001989,VLCC Slimmers Roasted Soyabean150 gm,
8906008453104,Shape Up Bust Firming Cream100 ml,100198820
8906008451818,VLCC SUNSCREEN GEL SPF15 100G,101343283
8906008459272,VLCC Enbrighten Tinted Sunscreen SoufflÃŠ SPF 25-40gm,100527027
8906008459302,VLCC Sweat Free Sun Block Lotion SPF 40-30gm,100527024
8906008454116,VLCC Aloe Vera Body Lotion 200 ml,100312911
8906008458824,VLCC Mulberry Body Lotion â 200ml,101343285
8906008458800,VLCC Almond Body Lotion â 200ml,100468817
8907122003075,VLCC Gold Scrub-80gm,100414851
8907122003082,VLCC Gold Peel Off Mask-80gm,100414850
8907122003051,VLCC Diamond Detoxifying Wash-Off Mask-80gm,100755405
8907122003068,VLCC Diamond Polishing Face Scrub-80gm,100755404
8907122000074,VLCC Anti Aging Face Mask 80 gm,100755401
8906008450842,VLCC Snighda Skin Whitening Face Mask 80gm,100024761
8906008456530,VLCC Silver Facial Kit-6,
8906008456417,VLCC De pigmentation Facial Kit-6,
8907122001064,VLCC ANTI TAN FACIAL KIT 250g,100961690
8907122001071,VLCC PAPAYA FRUIT FACL KT 250g,100961697
8907122001057,VLCC INSTA GLOW FACIAL KT 210g,100961696
8907122000210,Men Active Light Fairness Face Wash 100ml,100388191
8907122000227,Men Active Light Fairness Face Scrub 100gm,100388197
8907122000203,Men Active Light Fairness Moisturiser 100ml,100388200
8907122000975,VLCC Insta Glow Bleach for Men 32.2 gm,
8907122001866,VLCC Daily protect Lip balm Honey 4GM,100469051
8906008456462,VLCC Strawberry Lip Shield 10ML,
8907122004089,VLCC Mens lip Balm 4.5 gm,101268500
8907122004140,VLCC Almond Lip Balm 4.5 gm,101268501
8907122001859,VLCC Daily protect Lip balm Mango 4gm,100469052
8906008460421,VLCC Cacti & Litchi Gentle Hydrating Face Wash-175ml,100618885
8906008460445,VLCC Witch Hazel & Rose Water Gentle Face Wash-175ml,100618887
8906008460452,VLCC Watermelon & Bergamot Gentle Exfoliating Face Wash -175ml,
8906008458961,VLCC Pineapple & Papaya Gentle Exfoliating Scrub-150ml,100618891
8906008458992,VLCC Pomegranate & Aloe Vera Gentle Exfoliating Scrub-150ml,100618892
8906008459029,VLCC Liquorice & Fenugreek Natural Fairness Mask -100ml,100618896
8907122000197,Daily Skin Regime Pack-Arabian Exotica,
8906008459500,VLCC Protein Conditioning Shampoo-200ml,100312914
8906008458336,VLCC Henna Natura Colour Natural Black,
8906008459555,VLCC Hair Fall Repair Conditioner 100ml,100388188
8906008459531,VLCC Hair Smoothening Shampoo-350ml,100618876
8906008459524,VLCC Hair Smoothening Shampoo-200ml,100618877
8906008459548,VLCC Dandruff Control Conditioner 100ml,100618878
8907122000258,VLCC Insta Glow Saffron Bleach - 60 gm,NPI
8906008460414,VLCC Insta Fair & Glow Fairness Cream 50gm,
8906008460582,VLCC Almond Body Lotion â 100ml,
8906008460575,VLCC Mulberry Body Lotion â 100ml,
8906008460599,VLCC Aloe Vera Body Lotion -100 ml,
8906008460605,VLCC Coco Butter Body Lotion â 100ml Â  Â  Â  Â  Â  ,
8906008453355,Soap Insta Glow Basil&Mullbery,
8906008453362,Soap Anti Ageing Geranium & Bergamont,
8906008456073,Body Glow SPF 35 oil free,101209080
8906008456196,BODY GLOW SPF 35Â  100ML,101209081
8907122000418,Daily Shine Control Cleanser,101248465
8906008456035,Daily Shine Control Nourishing Mask,101209082
8907122000319,Enbrighten Day Treat Cream,101209083
8907122000326,Enbrighten Night Treat Cream ,101209084
8907122000333,Face Sculpt Day Cream ,101209100
8907122000432,Moisture Lock Facial Wash ,101248464
8906008456134,Skin Soothe Toner ,101248463
8907122000357,Maximum Replenish Night Cream ,101209102
8907122000364,Maximum Moisturise Day Cream ,101209101
8907122000395,Brighten Correct Day Treat Cream ,
8907122000401,Brighten Correct Night Cream ,101209099
8906008456257,Papaya Enzyme Mask ,101209103
8906008456264,Exotic Jewel Scrub ,101209105
8906008456271,Exotic Jewel Mask ,101209104
8906008459753,Whitening Scrub ,101209107
8906008459760,Whitening Face Pack ,101209106
8907122000371,Whitening Night Cream ,101248462
8907122000388,Whitening Day Cream ,101248461
8907122000456,Whitening Face Wash ,101209108
8907122002696,VLCC Ultra Radiance SoufflÃŠ with SPF 50 and PA+++,101343282
8907122002047,VLCC 1 Day Instant Magic Whitening Cream,101150341
8907122002122,VLCC 1 Day Instant Magic Whitening Scrub,101150342
8907122002900,VLCC Anti-Tan Skin Lightening Facewash,
8907122002689,VLCC Refreshing Sun Block Gel  SPF 25 And pa+++,101150343
8907122002023,VLCC Diamond & Gold Ultra Glow Facial Kit,
8907122002030,VLCC Wonder Whitening Kit,101150340
8907122004188,Antiaging Soap(3+1 free Offer),
8907122004171,Instaglow Fairness Soap (3+1) Free Offer,
8907122004614,VLCC De-Pigmentation fairness Facial Kit,
