FG code,Article Des,EAN Code,Size,Final MRP,Category
F0241-003,VLCC Anti Tan Skin Lightening Face Wash-50gm,8906008453201,50GM,135,SunCare
F0429-001,Fair+Glow Sun Screen Lotion SPF20 50 ml,8907122008384,80ML,135,SunCare
F0428-001,Fair+Glow Sun Screen Lotion SPF20 100 ml,8907122008377,100ML,235,SunCare
F0431-001,Matte Look SPF 30 Sun Screen Gel Cr?me (Tinted) 100 gm,8907122008407,100GM,295,SunCare
F0432-001,Matte Look SPF 30 Sun Screen Gel Cr?me (Tinted) 50 gm,8907122008414,60GM,195,SunCare
F0464-001,Matte Look SPF 30 Sun Screen Gel Cr?me (Tinted) 15 gm,8907122008421,15gm*24,480,SunCare
F0436-001,Radiance Pro SPF 30 Sun Screen Gel 100 gm,8907122008483,100GM,350,SunCare
F0437-001,Radiance Pro SPF 30 Sun Screen Gel 50 gm,8907122008490,50GM,245,SunCare
F0438-001,3D Youth Boost SPF40 Sunscreen Gel Cr?me 100 gm,8907122008513,100GM,375,SunCare
F0439-001,3D Youth Boost SPF40 Sunscreen Gel Cr?me 50 gm,8907122008520,50GM,265,SunCare
F0440-001,De Tan SPF 50 Sunscreen Gel Cr?me 100 gm,8907122008537,100GM,395,SunCare
F0441-001,Water Resistant SPF60 Sunscreen Gel Cr?me 100gm,8907122008544,100GM,495,SunCare
F0260-003,VLCC Maximum Sunblock Lotion SPF 70 60G,8907122000494,60GM,500,SunCare
F0245-001,VLCC Clear Tan Fruits Face Pack- 100gm,8906008459210,100GM,225,SunCare
F0313-003,Antitan Body Lotion SPF 25 150ml B1G1,8907122002672,150 ml,275,SunCare
F0214-001,VLCC Sandal Cleansing Milk 100ml,8906008450774,100ML,160,Skin Care
F0233-001,VLCC Wild Turmeric Face Wash-80ml,8906008450804,80ML,140,Skin Care
F0193-005,VLCC Honey Moisturiser 100 ml+ offer,8906008450743,100ML,250,Skin Care
F0199-001,VLCC Melia Face Wash 80ml,8906008450750,80ML,140,Skin Care
F0196-001,VLCC LAVANG MOISTURISER - 100 ML,8906008450729,100ML,160,Skin Care
F0207-001,VLCC Punernave Astringent-100ml ,8906008450798,100ML,160,Skin Care
F0169-001,VLCC Almond Under Eye Cream 15Gm,8906008452846,15GM,225,Skin Care
F0204-001,VLCC Pista Massage Cream 50Gm,8906008450811,50GM,260,Skin Care
F0198-003,VL LIQUORICE COLD CREAM 50Gm,8907122002276,50GM,135,Skin Care
F0210-001,VLCC Rose Face Scrub 80gm ,8906008453041,80GM,180,Skin Care
F0194-001,VLCC Indian Berberry -80gm,8906008451214,80GM,250,Skin Care
F0212-001,VLCC Rose Water Toner 100ml,8906008450781,100ML,150,Skin Care
F0158-004,VLCC Coco Butter Body Lotion - 200ml           ,8906008458787,200ML,155,Skin Care
F0162-005,VLCC Almond Body Lotion - 350ml B1G1,8906008458817,350ML,275,Skin Care
F0201-001,VLCC Mud Face Pack-70gm,8906008450934,70GM,250,Skin Care
F0202-001,VLCC Papaya & Apricot Scrub-80gm,8907122003112,80GM,180,Skin Care
F0232-001,VLCC Walnut Face Scrub-80gm,8907122003099,80GM,180,Skin Care
F0217-001,VLCC Anti Aging Day CreamSPF 25 -50 gm,8907122000081,50GM,450,Anti Aging
F0218-001,VLCC Anti Aging Night Cream- 50 gm,8907122000098,50GM,450,Anti Aging
F0168-001,VLCC Anti Aging Face Wash 100 ml,8907122000067,100ML,155,Anti Aging
F0206-001,VLCC Anti Aging Vitalift serum- 40 ml,8907122000104,40ML,450,Anti Aging
F0215-001,VLCC Snighda Skin Whitening Day Cream Spf25 50gm,8906008450897,50GM,250,Snighda
F0167-001,VLCC Snighda Skin Whitening Face Wash 100ml,8907122003105,100ML,155,Snighda
F0216-001,VLCC Snighda Skin Whitening Night Cream 50Gm,8907122003365,50GM,250,Snighda
F0220-001,VLCC Snighda Skin Whitening Serum 40ml,8907122003372,40ml,450,Snighda
F0097-012,VLCC Gold Facial Kit-Single,8906008458022,KIT,250,Single Kit
F0099-011,VLCC Pearl Fairness Facial Kit-Single 90G,8906008458015,KIT,250,Single Kit
F0098-010,VLCC PARTY GLOW FACIAL KIT 90G,8906008458589,KIT,250,Single Kit
F0094-011,VLCC ANTI TAN SINGLE FACIAL KIT,8906008458374,KIT,250,Single Kit
F0096-010,VLCC Fruit Facial Kit-Single 100G,8906008458466,KIT,250,Single Kit
F0095-013,VLCC Diamond Facial Kit-Single,8906008458039,KIT,350,Single Kit
F0101-006,VLCC Silver Facial Kit ,8906008459715,KIT,250,Single Kit
F0387-001,VLCC Fruit Kit,8906008452907,KIT,400,Regular kit
F0089-001,VLCC Insta Glow Facial Kit ,8906008452785,KIT,400,Regular kit
F0091-001,VLCC Detan Facial Kit,8906008452761,KIT,400,Regular kit
F0088-001,VLCC Skin Tightning Facial Kit ,8906008452822,KIT,400,Regular kit
F0048-001,VLCC Pedi Glow Foot Care Kit,8906008455069,KIT,550,Regular kit
F0049-002,VLCC pedicure & Manicure kit,8907122002191,KIT,500,Regular kit
F0356-001,Papaya Fruit Facial Kit 5 Session,8907122005659,300Gm,600,Premium Kit
F0357-001,Party Glow Facial Kit 5 Session,8907122005666,300Gm,600,Premium Kit
F0355-001,Anti Tan Facial Kit 5 Session,8907122005642,300Gm,600,Premium Kit
F0080-001,VLCC Gold Facial Kit-6,8906008458350,KIT,1300,Premium Kit
F0398-001,Total Nourishment Fruit Cream,8907122006144,,240,Skin Care
F0397-001,Insta Fair & Glow Cold Cream,8907122006632,,240,Skin Care
F0310-001,VLCC Skin Glow Mini Facial kit,8907122002993,25gm,99,Mini Facial Kit
F0309-001,VLCC Skin Whitening Mini Facial Kit ,8907122002986,25gm,99,Mini Facial Kit
F0382-001,VLCC Neem FACE WASH Sachet (Pack of 24@ Rs.5 per sachet) ,8907122006373,,120,Skin Care
F0079-001,VLCC Diamond Kit,8906008453058,KIT,1600,Premium Kit
F0081-001,VLCC Pearl Facial Kit,8906008454246,KIT,1100,Premium Kit
T0036-002,VLCC Daily protect Lip balm Strawberry 4.5GM,8907122001835,4.5GM,125,Lip Care
T0045-001,VLCC Rose Lip Balm 4.5 gm,8907122004065,4.5GM,125,Lip Care
T0046-001,VLCC Peach Lip Balm 4.5 gm,8907122004072,4.5GM,125,Lip Care
T0037-003,VLCC Daily protect Lip balm Cherry 4.5GM,8907122001842,4.5GM,125,Lip Care
F0185-001,VLCC Alpine Mint & Tea Tree Gentle Refreshing Face Wash-175ml,8906008460438,150ML,250,International
F0187-001,VLCC Mandarin & Tomato  Natural Fairness Face Wash-175ml,8906008460469,150ML,250,International
F0056-001,VLCC Hair Fall Repair Oil 100ML,8906008459579,100ML,155,Hair Care
F0321-002,VLCC Protein Conditioning Shampoo-350ml,8906008459517,350ML,295,Hair Care
F0319-002,VLCC Hair Fall Repair Shampoo-350ml,8906008459487,350ML,295,Hair Care
F0320-002,VLCC Dandruff Control Shampoo-350ml,8906008459456,350ML,295,Hair Care
F0055-001,VLCC Hair Strengthening Oil 100ml,8906008459562,100ML,400,Hair Care
T0291-001,VLCC Henna 2*100gm,8906008460476,100GM,89,Hair Care
T0011-001,VLCC Henna 100gm,8906008451665,100GM,60,Hair Care
T0001-003,VLCC KAJAL 2.5GR ,8906008451009,2.5GM,155,EyeCare
F0032-001,VLCC Herbal Bleach Retail 27 gm,8906008458428,27GM,50,Bleach
F0034-001,VLCC Gold Bleach Retail 30G,8906008456554,30GM,60,Bleach
F0031-001,VLCC Insta Glow Bleach -21 gm,8906008453331,21GM,60,Bleach
F0033-001,VLCC Diamond Bleach 30gm,8907122001439,30GM,70,Bleach
F0038-001,VLCC Insta Glow Gold Bleach - 60 gm,8907122000050,60GM,100,Bleach
F0036-001,VLCC Insta Glow Herbal Bleach - 54 gm,8907122000043,54GM,80,Bleach
F0035-001,VLCC Insta Glow Qxygen Bleach - 51.4 gm,8907122000029,51.4GM,80,Bleach
F0037-001,VLCC Insta Glow Diamond Bleach - 60 gm,8907122000036,60GM,110,Bleach
F0306-003,Neem Facewash 150ml ,8907122002641,150 ml,170,FWs
F0311-002,Mulberry & Rose Facewash 150ml ,8907122002658,150 ml,170,FWs
F0307-003,Turmeric & Berberris Facewash 150ml ,8907122002665,150 ml,170,FWs
T0003-002,VLCC Enchanting Kajal,8907122000180,0.3GM,199,EyeCare
F0328-002,VLCC Tulsi Face Wash,8907122003761,150 ml,225,FWs
F0164-001,VLCC De-pigmentation Day Cream 50gm,8907122000128,50GM,450,De-Pigmentation
F0165-001,VLCC De-pigmentation Night Cream 50gm,8907122000135,50GM,450,De-Pigmentation
F0166-001,VLCC De-pigmentation Face Mask 80 gm,8907122000111,80GM,180,De-Pigmentation
F0163-001,VLCC De - pigmentation Serum 40ML,8907122000142,40ML,450,De-Pigmentation
F0145-001,Shape Up Slimming Oil100 ml,8906008458572,100ML,255,Shape UP
F0147-001,Shape Up Slimming Oil200 ml,8907122001798,200ML,500,Shape UP
F0140-001,Shape Up Waist & Tummy Trim Gel200 gm,8906008451863,200GM,605,Shape UP
F0137-001,Shape Up Waist & Tummy Trim Gel100 gm,8906008453393,100GM,355,Shape UP
F0350-001,Shape UP B line Cream 100ml,8907122005444,100ML,495,Shape UP
F0324-001,Shape Up Anti-Cellulite Oil100 ml,8907122002931,100ML,900,Shape UP
F0325-001,Shape Up Anti-Cellulite Gel100 gm,8907122002948,100GM,1100,Shape UP
F0326-001,Shape Up 10 in 1 Oil60 ml,8907122003693,60ML,425,Shape UP
F0146-001,Shape Up 10 in 1 Oil100 ml,8907122003686,100ML,700,Shape UP
F0161-001,VLCC Coco Butter Body Lotion - 350ml,8906008458794,350ml,299,Skin Care
F0160-001,VLCC Aloe Vera Body Lotion - 350ml,8906008458848,,299,Skin Care
F0159-001,VLCC Mulberry Body Lotion - 350ml,8906008458831,,299,Skin Care
F0367-001,Skin Brightening Haldi & Chandan Face wash,8907122006076,100ml,99,Ayurveda Face Wash
F0371-001,Natural Fairness Double Action Chandan & Kesar,8907122006113,100ml,99,Ayurveda Face Wash
F0365-001,Deep Pore Cleansing & Brightening Haldi & Tulsi FACEWASH,8907122006052,100ml,99,Ayurveda Face Wash
F0369-001,Skin Purifying Double Power Double Neem FACEWASH,8907122006090,100ml,99,Ayurveda Face Wash
F0373-001,VLCC Platinum Facial Kit 60gm,8907122006137,60gm,350,Single Kit
F0383-001,Deep Pore Cleansing & Brightening Haldi & Tulsi Facial Kit ,8907122006557,50gms,200,Ayurveda Single Kit
F0384-001,Skin Purifying Double Power Double Neem Facial Kit,8907122006564,50gms,200,Ayurveda Single Kit
F0385-001,Skin Brightening Haldi & Chandan Facial Kit ,8907122006571,50gms,200,Ayurveda Single Kit
F0386-001,Natural Fairness Chandan & Kesar Facial Kit,8907122006588,50gms,200,Ayurveda Single Kit
F0415-001,VLCC Ayurveda Dandruff Control Shampoo,8907122008049,100ML,70,Ayurveda Hair Care
F0417-001,VLCC Ayurveda Anti Hair Fall Shampoo,8907122008063,100ML,70,Ayurveda Hair Care
F0421-001,VLCC Ayurveda Intense Nourishing Shampoo,8907122008100,100ML,70,Ayurveda Hair Care
F0419-001,VLCC Ayurveda Smooth and Shine Shampoo,8907122008087,100ML,70,Ayurveda Hair Care
T0285-001,VLCC Ayurveda Kesh Ayur Shakti Hair Oil,8907122008124,100ml,130,Ayurveda Hair Care
F0403-001,VLCC AyushMEN Face Wash 50gm,8907122007547,50g,75,Mens Range
F0404-001,VLCC AyushMEN Face Wash 100gm,8907122007554,100m,140,Mens Range
F0405-001,VLCC AyushMEN Scrub 50gm,8907122007561,50g,80,Mens Range
F0406-001,VLCC AyushMEN Moisturiser 50gm,8907122007578,50g,150,Mens Range
F0407-001,VLCC AyushMEN Moisturiser 100gm,8907122007585,100gm,275,Mens Range
F0408-001,VLCC AyushMEN Shaving Gel 50gm,8907122007592,50gm,65,Mens Range
F0466-001,VLCC AyushMEN Shaving Cream 70gm,8907122007608,70gm,30,Mens Range
F0467-001,VLCC AyushMEN Shaving Cream 125gm,8907122007615,125gm,45,Mens Range
F0425-001,VLCC Ayurveda Spotless Clear Active D Pigmentation Cream,8907122008308,50gm,195,Ayurveda Skincare
F0409-001,VLCC Ayurveda Multani Mitti Face Pack,8907122008438,100gm,120,Ayurveda Skincare
F0424-001,VLCC Ayurveda Youth Miracle Anti Ageing Cream,8907122008292,50gm,225,Ayurveda Skincare
F0410-001,VLCC Ayurveda White & Bright Glow Gel Cream,8907122008445,20gm,79,Ayurveda Skincare
F0534-001,DeTan + WhiteGlo Moisturising Body Lotion SPF 30 PA+++ 350ml,8907122010196,350ml,299,SunCare
F0391-001,Ayurveda Baby Cream,8907122006670,50GM,70,Baby Range
F0473-001,Ayurveda Baby Cream,8907122009206,100GM,130,Baby Range
F0475-001,Ayurveda Baby Massage Oil,8907122009220,100ML,90,Baby Range
F0392-001,Ayurveda Baby Lotion,8907122006687,100ML,85,Baby Range
F0474-001,Ayurveda Baby Lotion,8907122009213,200ML,150,Baby Range
F0390-001,Baby Diaper Cream,8907122006663,50GM,95,Baby Range
F0472-001,Baby Diaper Cream,8907122009190,100GM,165,Baby Range
F0393-001,Baby Head to Toe Wash,8907122006694,100ML,140,Baby Range
T0286-001,VLCC Pocket Parfum - Naturel Lime - Unisex,8907122009022,23ML,60,Parfum
T0287-001,VLCC Pocket Parfum - Herbal Forest - Woman,8907122009039,23ML,60,Parfum
T0288-001,VLCC Pocket Parfum - Floral Garden - Woman,8907122009046,23ML,60,Parfum
T0289-001,VLCC Pocket Parfum - Woody Forest - Man,8907122009053,23ML,60,Parfum
T0290-001,VLCC Pocket Parfum - Musky Naturel - Man,8907122009060,23ML,60,Parfum
T0297-001,VLCC Pocket Parfum-JAR (bulk pack),8907122009435,15pcs,900,Parfum
,VLCC Hair Fall Repair Shampoo-200ml,8906008459470,200ML,180,Hair Care
,VLCC Dandruff Control Shampoo-200ml,8906008459449,200ML,180,Hair Care
F0261-003,Daily Protect Sun Screen Cream SPF25 100ml,8907122002603,100ML,250,SunCare
T0107-001,Slimmers Green Tea with Herbs - ANTIOXIDANT10 packs,8906008460957,10N*1.75g,80,Slimmer's
T0108-001,Slimmers Herbal Infusion with Green Tea - SLIMMING10 packs,8906008460964,10N*1.75g,80,Slimmer's
T0109-001,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF10 packs,8906008460971,10N*1.75g,80,Slimmer's
T0210-001,Slimmer's Herbal Inf. with Green Tea (Digestive) 10's,8907122003952,10N*1.75g,80,Slimmer's
T0166-001,Slimmers Green Tea with Herbs - ANTIOXIDANT25 packs,8907122001972,25N*1.75g,175,Slimmer's
T0182-001,Slimmers Herbal Infusion with Green Tea - SLIMMING25 packs,8907122001958,25N*1.75g,175,Slimmer's
T0183-001,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF25 packs,8907122001965,25N*1.75g,175,Slimmer's
T0211-001,Slimmer's Herbal Inf. with Green Tea (Digestive) 25's,8907122003969,25N*1.75g,175,Slimmer's
T0029-001,Slimmers Honey Dietary Supplement225 gm,8906008451719,225GM,110,Slimmer's
T0028-001,Slimmers Honey Dietary Supplement400 gm,8907122004775,400GM,190,Slimmer's
T0119-001,Slimmers Stevia Herbal Sweetener60 no,8907122000982,60 Nos,150,Slimmer's
,VLCC Daily protect Lip balm Orange 4Gm,8907122001873,,125,Lip Care
,VLCC Enchanting Eyes Kohl Blue.3gm,8907122005246,,245,EyeCare
,VLCC Enchanting Eyes Kohl Green.3gm,8907122005253,,245,EyeCare
F0141-001,Shape Up Shaping Kit1 Kit,8907122002153,,650,Shape UP
F0316-001,Shape Up Anti Stretch Mark Cream100 gm,8907122002771,,350,Shape UP
F0317-001,Shape Up Anti Stretch Mark Cream200 gm,8907122002788,,600,Shape UP
F0132-001,Shape Up Chin & Neck Firming Cream100 gm,8906008453133,,495,Shape UP
F0133-002,Shape Up HTA Shaping Gel100 gm,8906008453096,,395,Shape UP
T0200-001,Slimmers Green Tea with Herbs - ANTIOXIDANT50 packs,8907122003945,,350,Slimmer's
T0198-001,Slimmers Herbal Infusion with Green Tea - SLIMMING50 packs,8907122003921,,350,Slimmer's
T0199-001,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF50 packs,8907122003938,,350,Slimmer's
,Slimmers Green Tea with Herbs - ANTIOXIDANT with Stevia50 packs,8907122004812,,400,Slimmer's
,Slimmers Herbal Infusion with Green Tea - SLIMMING with Stevia50 packs,8907122004799,,400,Slimmer's
,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF with Stevia50 packs,8907122004805,,400,Slimmer's
T0027-002,Slimmers Honey Dietary Supplement125 gm,8907122004782,,65,Slimmer's
F0027-001,YaP Instant Muscle Relaxing & Refreshing Oil100 ml,8907122002375,,440,YAP
F0026-001,YaP Instant Muscle Relaxing & Refreshing Gel150 gm,8907122002368,,490,YAP
F0028-001,YaP Instant Muscle Relaxing & Refreshing Spray100 ml,8907122002382,,350,YAP
O0073-001,YaP Organics - Combi Pack30gm + 30ml,8907122003600,,170,YAP
T0139-001,Gasflush20 Capsules,8907122001149,,99,GasFlush
T0138-001,Gasflush60 Capsules,8907122001132,,249,GasFlush
T0205-001,Slimmers Multi Green Muesli Crunchy Nut + Free 25%250 gm,8907122004577,,200,Slimmer's
T0203-001,Slimmers Multi Green Muesli Fruit & Fibre + Free 25%250 gm,8907122004362,,225,Slimmer's
T0207-001,Slimmers Multi Green Muesli Crunchy Nut + Free Honey 125 gm500 gm,8907122005284,,395,Slimmer's
T0208-001,Slimmers Multi Green Muesli Fruit & Fibre + 25% + Free Honey 125 gm500 gm,8907122005277,,395,Slimmer's
F0148-001,Slimmers Isabgol LEMON Flavoured100 gm,8906008453935,,200,Slimmer's
F0149-001,Slimmers Isabgol PINEAPPLE Flavoured100 gm,8906008453942,,200,Slimmer's
,Slimmers Roasted Mix SPROUTED125 gm,8907122001996,,100,Slimmer's
,VLCC Slimmers Roasted Soyabean150 gm,8907122001989,,110,Slimmer's
,Shape Up Bust Firming Cream100 ml,8906008453104,,500,Shape UP
,VLCC SUNSCREEN GEL SPF15 100G,8906008451818,,200,SunCare
,VLCC Enbrighten Tinted Sunscreen Soufflé SPF 25-40gm,8906008459272,,395,SunCare
,VLCC Sweat Free Sun Block Lotion SPF 40-30gm,8906008459302,,115,SunCare
,VLCC Aloe Vera Body Lotion 200 ml,8906008454116,,155,Skin Care
,VLCC Mulberry Body Lotion - 200ml,8906008458824,,155,Skin Care
,VLCC Almond Body Lotion - 200ml,8906008458800,,155,Skin Care
,VLCC Gold Scrub-80gm,8907122003075,,180,Skin Care
,VLCC Gold Peel Off Mask-80gm,8907122003082,,180,Skin Care
,VLCC Diamond Detoxifying Wash-Off Mask-80gm,8907122003051,,205,Skin Care
,VLCC Diamond Polishing Face Scrub-80gm,8907122003068,,205,Skin Care
,VLCC Anti Aging Face Mask 80 gm,8907122000074,,155,Anti Aging
,VLCC Snighda Skin Whitening Face Mask 80gm,8906008450842,,155,Snighda
,VLCC Silver Facial Kit-6,8906008456530,,1100,Premium Kit
,VLCC De pigmentation Facial Kit-6,8906008456417,,955,Premium Kit
,VLCC ANTI TAN FACIAL KIT 250g,8907122001064,,755,Premium Kit
,VLCC PAPAYA FRUIT FACL KT 250g,8907122001071,,755,Premium Kit
,VLCC INSTA GLOW FACIAL KT 210g,8907122001057,,755,Premium Kit
,Men Active Light Fairness Face Wash 100ml,8907122000210,,155,Mens Range
,Men Active Light Fairness Face Scrub 100gm,8907122000227,,160,Mens Range
,Men Active Light Fairness Moisturiser 100ml,8907122000203,,180,Mens Range
,VLCC Insta Glow Bleach for Men 32.2 gm,8907122000975,,62,Mens Range
,VLCC Daily protect Lip balm Honey 4GM,8907122001866,,99,Lip Care
,VLCC Strawberry Lip Shield 10ML,8906008456462,,130,Lip Care
,VLCC Mens lip Balm 4.5 gm,8907122004089,,125,Lip Care
,VLCC Almond Lip Balm 4.5 gm,8907122004140,,125,Lip Care
,VLCC Daily protect Lip balm Mango 4gm,8907122001859,,105,Lip Care
,VLCC Cacti & Litchi Gentle Hydrating Face Wash-175ml,8906008460421,,230,International
,VLCC Witch Hazel & Rose Water Gentle Face Wash-175ml,8906008460445,,230,International
,VLCC Watermelon & Bergamot Gentle Exfoliating Face Wash -175ml,8906008460452,,230,International
,VLCC Pineapple & Papaya Gentle Exfoliating Scrub-150ml,8906008458961,,250,International
,VLCC Pomegranate & Aloe Vera Gentle Exfoliating Scrub-150ml,8906008458992,,250,International
,VLCC Liquorice & Fenugreek Natural Fairness Mask -100ml,8906008459029,,280,International
,Daily Skin Regime Pack-Arabian Exotica,8907122000197,,590,International
,VLCC Protein Conditioning Shampoo-200ml,8906008459500,,175,Hair Care
,VLCC Henna Natura Colour Natural Black,8906008458336,,200,Hair Care
,VLCC Hair Fall Repair Conditioner 100ml,8906008459555,,110,Hair Care
,VLCC Hair Smoothening Shampoo-350ml,8906008459531,,254,Hair Care
,VLCC Hair Smoothening Shampoo-200ml,8906008459524,,175,Hair Care
,VLCC Dandruff Control Conditioner 100ml,8906008459548,,110,Hair Care
,VLCC Insta Glow Saffron Bleach - 60 gm,8907122000258,,125,Bleach
,VLCC Insta Fair & Glow Fairness Cream 50gm,8906008460414,,95,Skin Care
,VLCC Almond Body Lotion - 100ml,8906008460582,,90,Skin Care
,VLCC Mulberry Body Lotion - 100ml,8906008460575,,55,Skin Care
,VLCC Aloe Vera Body Lotion -100 ml,8906008460599,,90,Skin Care
,VLCC Coco Butter Body Lotion - 100ml           ,8906008460605,,90,Skin Care
,Soap Insta Glow Basil&Mullbery,8906008453355,,90,Soap
,Soap Anti Ageing Geranium & Bergamont,8906008453362,,90,Soap
,Body Glow SPF 35 oil free,8906008456073,,380,Spring
,BODY GLOW SPF 35  100ML,8906008456196,,380,Spring
,Daily Shine Control Cleanser,8907122000418,,650,Spring
,Daily Shine Control Nourishing Mask,8906008456035,,550,Spring
,Enbrighten Day Treat Cream,8907122000319,,850,Spring
,Enbrighten Night Treat Cream ,8907122000326,,850,Spring
,Face Sculpt Day Cream ,8907122000333,,850,Spring
,Moisture Lock Facial Wash ,8907122000432,,550,Spring
,Skin Soothe Toner ,8906008456134,,850,Spring
,Maximum Replenish Night Cream ,8907122000357,,850,Spring
,Maximum Moisturise Day Cream ,8907122000364,,850,Spring
,Brighten Correct Day Treat Cream ,8907122000395,,850,Spring
,Brighten Correct Night Cream ,8907122000401,,850,Spring
,Papaya Enzyme Mask ,8906008456257,,550,Spring
,Exotic Jewel Scrub ,8906008456264,,550,Spring
,Exotic Jewel Mask ,8906008456271,,550,Spring
,Whitening Scrub ,8906008459753,,550,Spring
,Whitening Face Pack ,8906008459760,,550,Spring
,Whitening Night Cream ,8907122000371,,850,Spring
,Whitening Day Cream ,8907122000388,,850,Spring
,Whitening Face Wash ,8907122000456,,650,Spring
,VLCC Ultra Radiance Soufflé with SPF 50 and PA+++,8907122002696,,399,SunCare
,VLCC 1 Day Instant Magic Whitening Cream,8907122002047,,625,Skin Care
,VLCC 1 Day Instant Magic Whitening Scrub,8907122002122,,625,Skin Care
,VLCC Anti-Tan Skin Lightening Facewash,8907122002900,,225,SunCare
,VLCC Refreshing Sun Block Gel  SPF 25 And pa+++,8907122002689,,399,SunCare
,VLCC Diamond & Gold Ultra Glow Facial Kit,8907122002023,,1699,Premium Kit
,VLCC Wonder Whitening Kit,8907122002030,,999,Premium Kit
,Antiaging Soap(3+1 free Offer),8907122004188,,270,Soap
,Instaglow Fairness Soap (3+1) Free Offer,8907122004171,,270,Soap
,VLCC De-Pigmentation fairness Facial Kit,8907122004614,,250,Single Kit
